,aerospace,agribusiness,agriculture,air_transport,airlines,airport harbor and terminal operation,alcoholic_beverages,amusement parks and attraction,auto_manufacure,automobile parts suppliers,automotive,beverage,broadcasting,Builiding materials,car_manufacture,chemical,clothing_manufacture,coal_mining,College and university,computer,Computer parts and repair,computer_software,construction,crop_production,cruise_ships_building,dairy,education,Electrical Utilities,electronics,electronics_manufacture,farming and mining machinary equipments,food_processing,food_products,forest_products,Funeral Homes and service,furniture manufacturing,gas_oil,Glass,hardware and tools,jaggery,lending and mortage,Librairies Archives and Museums,metals manufacturing,milk_products,non alcoholic beverages,Office Machinery and equipments,Oil Refineries,paper_mill,petroleum,phone_companies,Plastic manufacturing ,poultry,printing_press,rubber manufacturing,Semiconductor and Microchip manufacturing,steel,sugar,textiles,timber,tobaco,vegetable_process,warehosing and storage,Village
0,0.998437941074,2.03470390002e-16,0.0,0.00156113156117,9.34943898301e-07,7.49586360649e-23,2.46044567173e-36,0.0,2.90555378742e-31,0.0,0.0,9.13695869028e-21,8.8167024205e-15,0.0,0.0,0.0,5.32250147543e-32,3.15007516442e-17,0.0,9.95121702656e-17,4.19665373411e-25,0.0,0.0,0.0,3.18774249618e-13,1.50546883987e-11,0.0,0.0,1.38048869311e-31,0.0,0.0,0.0,0.0,0.0,5.49932654305e-36,0.0,0.0,1.03603834114e-24,0.0,0.0,3.29339978777e-33,0.0,5.17958931177e-24,4.0097772079e-26,0.0,0.0,0.0,2.46653227317e-31,0.0,1.3308975509e-33,0.0,0.0,0.0,0.0,1.23829060214e-35,1.09769844491e-32,3.70301816988e-10,0.0,0.0,0.0,0.0,0.0,Adhala
1,1.40903193857e-14,0.999999284744,2.89309625171e-23,3.88072081137e-08,2.9018496446e-16,9.64337086342e-34,2.69308967488e-12,6.44970769382e-32,0.0,0.0,0.0,4.79362256556e-08,1.98986157329e-07,0.0,0.0,1.05841309727e-28,1.69978349618e-07,1.55613086861e-08,2.75672466155e-26,2.84909873471e-10,1.01337715996e-10,0.0,0.0,4.19591328955e-24,1.15816452696e-19,2.24100967588e-29,1.46946769484e-34,1.79191696801e-29,0.0,0.0,0.0,0.0,1.31274090802e-22,0.0,7.47483319685e-09,1.22606507288e-32,3.25435985901e-38,2.16396778968e-11,0.0,1.8403446822e-10,7.15182935096e-08,0.0,4.44414199187e-17,3.83987055169e-31,7.17417638454e-24,3.83660066879e-26,0.0,1.4722895212e-12,0.0,3.77265192721e-28,0.0,0.0,1.06249579912e-26,0.0,1.46756631712e-37,8.17167365056e-21,1.24494576426e-07,1.39187067784e-17,5.99941892398e-24,2.36730121707e-38,0.0,0.0,Boregaon
2,2.15254840441e-05,2.29574516197e-06,0.504271328449,7.37336449674e-06,6.04824026595e-06,2.64180428644e-08,3.43795858448e-09,1.65242022376e-06,1.05928696925e-08,1.09849770524e-06,5.93644220153e-13,8.0444260675e-05,9.11827555683e-07,0.000190808656043,5.31801402914e-09,6.51054961054e-07,3.84825534638e-06,2.48642777478e-07,5.60980697628e-05,3.74951483195e-08,7.59471674883e-07,1.25023946751e-08,9.81702469289e-05,0.493502408266,1.7881839085e-06,7.10660833647e-06,9.17863289942e-05,2.60752386794e-07,6.87143675293e-09,2.66088818535e-07,5.72174903937e-05,3.00140491163e-05,4.80822127429e-05,9.00846998775e-07,0.000630704395007,2.09467998502e-06,6.60768828542e-10,1.07475614186e-06,4.07085026382e-05,2.78527409137e-06,0.000576766731683,1.95110692403e-06,4.88353407491e-07,8.57844206621e-05,0.000141284821439,1.01205398551e-06,4.84653928101e-10,1.5615135053e-12,5.24724548256e-08,7.44555195276e-10,2.94884944196e-06,5.92759761275e-08,8.10368699228e-12,1.41444755214e-11,9.06536357093e-08,1.74704783973e-09,2.29581951317e-06,1.75344430318e-05,9.04598437046e-06,9.94863782466e-08,1.52083970417e-10,2.46885161204e-08,Ambegaon
3,0.000128465864691,1.18231555387e-17,0.0,0.999659776688,0.000211783408304,4.5801420651e-18,1.36059382679e-38,0.0,0.0,0.0,0.0,6.24198709801e-29,1.36863700084e-15,0.0,0.0,0.0,1.17736236015e-36,5.78547036263e-18,0.0,3.24613664158e-17,6.62852681842e-24,0.0,0.0,0.0,5.9034376305e-15,4.06130972458e-19,0.0,0.0,5.41618565275e-29,0.0,0.0,0.0,0.0,0.0,1.06503866972e-36,0.0,0.0,4.42760393451e-27,0.0,0.0,3.29275400056e-33,0.0,1.30307525173e-24,7.87506150295e-37,0.0,0.0,0.0,4.06794403621e-20,0.0,3.24716125831e-34,0.0,0.0,0.0,0.0,2.02018748696e-35,7.68685190381e-31,9.03466754534e-13,0.0,0.0,0.0,0.0,0.0,Pangari
4,4.62027031745e-07,2.76196215336e-16,0.0,0.000748727354221,0.998917460442,0.000332927680574,2.19229846892e-30,0.0,0.0,0.0,0.0,2.41309512753e-28,8.1203876956e-11,0.0,0.0,0.0,3.66856942545e-36,2.34242464835e-12,0.0,3.94655645747e-18,1.55804751344e-20,0.0,0.0,0.0,3.38525580901e-07,9.19897467617e-18,0.0,0.0,6.70878561038e-11,0.0,0.0,0.0,0.0,0.0,4.47122692183e-28,0.0,6.39182744482e-35,1.31623367966e-27,0.0,0.0,1.02225427872e-24,0.0,1.71787015729e-21,9.27086623157e-35,0.0,0.0,0.0,4.58176891982e-08,0.0,2.02270499668e-26,0.0,0.0,0.0,0.0,1.61114769589e-25,1.1803877334e-25,1.90354879754e-13,0.0,0.0,0.0,0.0,0.0,Jalalpur
5,1.34337299382e-14,8.91740314529e-20,0.0,1.91422627749e-10,0.000714044319466,0.998951435089,1.6745905496e-28,0.0,0.0,0.0,0.0,1.10954968198e-30,5.54286000778e-12,0.0,0.0,0.0,6.43274819397e-35,7.88100528305e-14,0.0,1.37380169558e-21,1.09702142826e-21,3.63162859712e-36,0.0,0.0,1.41279201671e-07,2.65847835562e-20,0.0,0.0,0.000269830576144,0.0,0.0,0.0,7.72186414411e-30,0.0,6.39210441627e-24,0.0,1.94286387602e-27,3.06837033446e-31,0.0,0.0,4.44089925646e-21,0.0,9.83362528898e-24,3.84309120601e-34,0.0,0.0,0.0,6.46021653665e-05,0.0,6.02968554476e-24,0.0,0.0,0.0,0.0,1.31572032838e-21,1.88650622622e-24,1.71926116973e-19,0.0,0.0,3.72965366222e-36,0.0,0.0,Jawalgaon
6,1.62442206049e-23,3.23394066416e-15,1.03578638805e-34,3.25030846682e-08,4.69812541667e-16,8.88429249267e-27,0.999999165535,3.2378456733e-20,1.35940614166e-15,2.83806515719e-26,2.53425070995e-27,6.88250793246e-07,5.28464533418e-15,2.09451727686e-20,9.43854915372e-25,3.23987589661e-25,3.64887868455e-14,6.90333382296e-18,3.55575338062e-08,6.21845561155e-11,6.80889806343e-13,2.97074624234e-37,2.04889183423e-16,2.87148589116e-34,2.00887645328e-34,1.4839349584e-32,5.51248657832e-10,3.60742688198e-18,5.21780547957e-28,1.55696481158e-27,2.74394100302e-29,5.29479075601e-13,1.79093805758e-12,2.12771813577e-37,2.34294850188e-09,1.43032359979e-32,2.16797588942e-25,5.25041121691e-09,6.60452836371e-30,5.38747232818e-17,2.74909783826e-09,3.72662889198e-32,7.80966472047e-11,3.41985839481e-28,1.47418912633e-08,2.85495081171e-18,3.63883759245e-28,2.48413095649e-11,2.35061438016e-33,4.83065774612e-19,5.56154471802e-24,0.0,3.40380609982e-12,2.33477234941e-12,3.02676009407e-24,1.4748816568e-07,1.60463648882e-27,1.37103777739e-19,3.54455759855e-17,1.24013512794e-38,0.0,1.9262590473e-26,Athardi
7,4.95231280436e-15,2.04461324432e-20,5.85012098339e-21,3.59417808016e-11,1.28678757188e-15,2.20678927576e-24,8.94502633293e-24,0.999997377396,2.24809014071e-07,2.29826621895e-29,9.97159044914e-32,1.02571229288e-09,7.4187052915e-19,1.23267923128e-18,5.99580833033e-19,3.55475750065e-19,1.81341296085e-18,6.95400676883e-28,1.55360567078e-06,1.23402177366e-08,2.36812348496e-19,5.39153006685e-07,2.55170874652e-07,1.53059028698e-21,3.10218434345e-18,1.59502687208e-13,6.66102936697e-11,2.61047627959e-08,1.10704422792e-22,1.59603521636e-23,3.48885536693e-23,0.0,0.0,0.0,4.28643875949e-09,8.93784063958e-29,4.31879358477e-22,2.98622033768e-08,3.2779013391e-23,6.29751526013e-35,4.62122207168e-09,4.64622664252e-27,1.02855771944e-15,4.1430938541e-12,5.77664452747e-16,3.6066646631e-25,2.00262987331e-26,2.24321215732e-29,4.67978312955e-31,6.02333894567e-12,0.0,3.01155676199e-36,0.0,0.0,5.23816337528e-11,9.7873419593e-17,2.19553666914e-10,4.87512379112e-23,4.65444599534e-32,8.19967545913e-19,3.93617578779e-23,2.7123691684e-16,Loni
8,6.28297357252e-07,8.15725118746e-14,1.61646616219e-16,2.41008137891e-08,1.24057999074e-06,3.19080584177e-08,4.69632581712e-08,3.7700101374e-10,0.983099579811,8.01162371999e-08,1.39871025873e-09,1.20891872939e-05,5.05446742238e-08,2.18610286123e-12,0.0166920479387,7.22251102783e-15,9.04258959378e-11,5.52223674774e-12,2.30474682894e-07,3.38827854662e-09,4.25826353345e-11,4.66774622426e-13,1.05267027095e-07,2.56783808372e-16,2.53182197429e-11,0.000150867388584,3.04757397096e-09,3.22882449666e-08,2.48346691478e-06,4.32844515785e-09,8.29973245686e-08,1.0406169676e-10,1.4466193079e-06,7.15787238509e-12,8.29057756149e-14,5.79178319827e-19,7.63483232191e-09,6.96984206461e-11,7.0320915313e-08,3.7782900723e-13,1.3720676071e-13,3.05480765466e-13,9.33932753355e-09,3.8260302972e-05,6.62864030332e-09,6.51271761853e-07,5.4966170504e-12,5.07309973076e-19,3.61757415135e-08,6.47931916453e-11,6.47436748311e-14,7.32033825104e-16,1.68809370627e-24,9.72289702088e-19,1.18058687826e-10,6.15371809065e-10,9.20466976836e-14,1.88562533643e-11,2.60013942047e-16,1.09222364226e-12,1.10138016329e-12,2.59195361571e-13,Nagapur
9,5.11688463196e-27,2.00513130964e-27,4.82613480933e-30,1.15625104909e-14,1.38500200891e-11,3.16532293709e-07,1.29702202776e-20,8.64501880824e-26,3.97885527694e-14,0.999987363815,8.79605277504e-09,1.0487258869e-22,3.85850292689e-12,4.11768721676e-26,6.19680359543e-13,7.12551026943e-33,3.72126180036e-15,3.56269880611e-22,2.9433570603e-07,1.32333727516e-17,2.92100794168e-15,9.86551909315e-23,6.10966854637e-26,8.10724001764e-29,3.5753604654e-22,6.73774878856e-21,3.5267806453e-09,5.47687592681e-20,1.91993199117e-10,8.08690874682e-12,1.75799926374e-13,1.20599610298e-08,1.19383385027e-05,5.50297061858e-35,7.15010967101e-11,1.96112678795e-35,1.35598222273e-15,8.16389488408e-25,2.5741509144e-14,3.75245331562e-29,1.23087692816e-10,2.43488303941e-38,7.72884606392e-21,2.44058183896e-17,2.74790663876e-24,1.699986929e-09,5.24464254646e-21,1.49616579434e-14,2.64847464009e-20,2.83249337506e-19,8.14602595968e-28,7.39762303454e-22,1.22029257384e-17,1.2632511543e-27,2.05487146396e-12,5.63403490528e-14,2.10790215222e-35,8.67127799392e-33,3.92426341056e-15,2.41408737618e-12,4.10062017005e-17,1.66767154263e-21,Renapur
